DocumentDate,SalePrice,PropertyID,PropertyType,ym,zhvi_px,zhvi_idx,AdjSalePrice,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
2012-12-10,336227,1000018,Townhouse,2012-12-01,397013,1.3233766666666666,254067,3,8917,1835,400,2.2,4,9,1955,1996,0,179170,336766,98002,False
2024-01-23,645707,1000019,Townhouse,2024-01-01,610096,2.0336533333333335,317510,1,3399,2686,0,3.1,4,7,1963,2013,0,255066,461422,98101,False
2008-09-05,334147,1000020,Townhouse,2008-09-01,342673,1.1422433333333333,292535,1,9277,1080,400,1.7,3,7,1945,0,2,272609,303512,98102,False
2020-09-01,518982,1000021,Multiplex,2020-09-01,536998,1.7899933333333333,289935,1,-613,2938,0,2.9,3,5,1996,2002,1,161304,346180,98001,False
2012-01-27,414341,1000022,Townhouse,2012-01-01,357009,1.19003,348176,1,5610,2490,0,3.6,4,5,1970,2016,0,247595,183926,98103,False
2008-11-18,362635,1000023,Multiplex,2008-11-01,316054,1.0535133333333333,344214,1,6035,1512,0,2.3,4,7,1945,1999,1,154672,234003,98004,False
2007-10-31,258231,1000024,Townhouse,2007-10-01,340378,1.1345933333333333,227597,1,9399,1986,0,3.7,3,11,2018,0,1,333986,203934,98105,False
2021-06-26,542316,1000025,Multiplex,2021-06-01,600774,2.00258,270808,1,7567,3378,600,4.0,5,8,1968,0,0,158422,401925,98102,True
2014-09-25,496519,1000026,Condo,2014-09-01,434336,1.4477866666666668,342950,1,3283,2686,0,1.3,2,5,2006,0,0,261565,95796,98105,False
2006-06-24,329502,1000027,Condo,2006-06-01,334061,1.1135366666666666,295905,1,4545,2107,0,1.7,6,5,2014,0,1,250627,267815,98001,False
2006-07-19,332283,1000028,Condo,2006-07-01,308884,1.0296133333333333,322726,1,8096,1909,0,3.9,5,4,1942,0,1,218965,60503,98004,True
2023-07-15,642931,1000029,Condo,2023-07-01,606014,2.0200466666666665,318275,1,7262,2161,0,3.9,4,9,1967,2021,1,159767,233496,98002,False
2007-01-31,324992,1000030,Condo,2007-01-01,346299,1.15433,281541,1,5762,1690,400,1.3,5,4,2013,0,2,190916,260724,98102,False
2014-02-05,450894,1000031,Townhouse,2014-02-01,460249,1.5341633333333333,293902,1,6057,416,800,1.0,4,8,1987,0,0,70784,410789,98004,False
2013-04-23,432112,1000032,Townhouse,2013-04-01,436592,1.4553066666666667,296921,1,9588,3733,0,1.5,3,5,2019,0,0,213465,331730,98105,False
2009-09-23,367128,1000033,Townhouse,2009-09-01,329630,1.0987666666666667,334127,1,5946,2224,600,4.0,3,10,1949,2003,2,220976,233348,98003,False
2006-04-07,302339,1000034,Multiplex,2006-04-01,310660,1.0355333333333334,291964,1,7235,2418,0,1.5,2,11,1972,2016,0,208009,385277,98001,False
2019-08-15,524664,1000035,Multiplex,2019-08-01,525053,1.7501766666666667,299777,1,14009,2053,0,2.5,3,5,2006,2001,1,21601,301426,98001,False
2005-11-23,282349,1000036,Multiplex,2005-11-01,294806,0.9826866666666667,287323,1,3228,1511,400,3.5,4,6,2008,0,1,124061,303005,98105,False
2022-02-28,584754,1000037,Multiplex,2022-02-01,592127,1.9737566666666666,296264,1,1944,1951,0,1.1,3,8,1951,0,1,155114,203786,98105,False
2014-11-29,391938,1000038,Condo,2014-11-01,443405,1.4780166666666668,265178,1,9850,820,400,2.8,3,10,1996,2007,0,217499,220798,98101,False
2016-09-25,438117,1000039,Condo,2016-09-01,481892,1.6063066666666668,272748,1,5464,3921,600,1.8,4,9,1983,0,1,217360,233992,98002,False
2021-07-27,553425,1000040,Condo,2021-07-01,595611,1.98537,278751,1,6545,1112,0,3.6,5,9,1952,0,2,189786,303716,98105,False
2005-12-19,271688,1000041,Single Family,2005-12-01,293411,0.9780366666666667,277789,1,5156,1274,600,1.9,1,10,1963,0,1,238114,306230,98104,False
2022-01-03,569219,1000042,Townhouse,2022-01-01,557089,1.8569633333333333,306532,1,6720,1747,400,3.1,3,9,1983,0,0,138425,423527,98102,False
2021-09-30,556976,1000043,Multiplex,2021-09-01,569059,1.8968633333333333,293630,1,12295,3130,0,3.0,3,11,1996,1992,0,236614,330804,98103,False
2011-01-04,391663,1000044,Multiplex,2011-01-01,417271,1.3909033333333334,281588,2,9906,2111,400,1.7,4,10,1955,0,0,228484,83394,98102,False
2013-10-08,439048,1000045,Condo,2013-10-01,401031,1.33677,328439,1,10086,1111,0,1.1,2,8,1960,0,0,222653,321011,98101,False
2019-09-12,505589,1000046,Multiplex,2019-09-01,533239,1.7774633333333334,284444,1,3251,3103,800,2.2,4,10,2015,0,0,189077,183998,98004,False
2007-02-25,364533,1000047,Multiplex,2007-02-01,338394,1.12798,323173,1,4046,2684,400,1.9,3,10,1990,0,2,309844,222722,98103,False
2023-09-14,635903,1000048,Townhouse,2023-09-01,611573,2.0385766666666667,311934,1,-1017,2530,0,3.4,3,6,1960,0,1,229591,235026,98004,False
2023-08-10,622867,1000049,Condo,2023-08-01,607883,2.0262766666666665,307394,1,5071,2672,0,3.4,5,6,1999,0,1,141899,246932,98105,False
2013-12-08,415180,1000050,Townhouse,2013-12-01,392102,1.3070066666666666,317657,1,10370,4015,400,2.4,1,4,1990,0,1,214898,189988,98101,False
2023-01-09,617318,1000051,Single Family,2023-01-01,562111,1.8737033333333333,329464,1,9050,3848,0,2.8,3,8,1960,0,0,245149,316278,98104,False
2015-08-21,479684,1000052,Single Family,2015-08-01,421836,1.40612,341140,1,6835,1550,0,2.8,1,8,1945,0,2,164713,187135,98102,False
2006-03-18,348707,1000053,Single Family,2006-03-01,304193,1.0139766666666667,343900,1,7433,3399,0,3.5,3,6,2012,0,0,265356,328533,98004,False
2009-10-25,391005,1000054,Condo,2009-10-01,372906,1.24302,314560,1,5433,2406,0,2.3,3,7,2004,0,0,222922,478957,98003,False
2019-09-11,520742,1000055,Multiplex,2019-09-01,517440,1.7248,301914,1,8114,2499,0,1.8,3,7,2015,0,0,59451,193651,98102,False
2010-01-05,381644,1000056,Condo,2010-01-01,354615,1.18205,322866,1,9797,746,0,1.8,2,4,1997,2011,2,217980,277239,98001,False
2020-12-22,580589,1000057,Condo,2020-12-01,522463,1.7415433333333334,333376,3,2652,1963,0,2.6,3,11,2017,0,2,175638,98123,98002,False
2012-10-21,376068,1000058,Multiplex,2012-10-01,407915,1.3597166666666667,276578,1,8398,1449,400,2.3,4,7,1945,0,0,232230,275925,98103,False
2019-08-02,509950,1000059,Townhouse,2019-08-01,546670,1.8222333333333334,279848,2,10297,2762,0,2.3,4,7,2004,0,2,256652,351417,98004,False
2021-08-28,562375,1000060,Single Family,2021-08-01,583163,1.9438766666666667,289305,1,6254,2956,0,1.3,3,7,1973,2020,0,211709,357651,98101,False
2005-12-05,326987,1000061,Townhouse,2005-12-01,312122,1.0404066666666667,314287,1,9602,440,0,3.2,4,11,1995,0,0,299915,306189,98001,True
2019-08-11,546958,1000062,Single Family,2019-08-01,489990,1.6333,334879,1,15943,2082,0,1.6,3,5,2014,0,2,189277,371141,98002,False
2011-08-05,372669,1000063,Condo,2011-08-01,372562,1.2418733333333334,300086,1,7186,2997,0,1.6,3,4,1942,1990,2,237489,503684,98004,False
2019-01-06,474244,1000064,Single Family,2019-01-01,558449,1.8614966666666666,254764,1,8679,1950,0,2.2,3,6,1981,1996,1,248296,436984,98104,False
2020-07-01,547668,1000065,Condo,2020-07-01,562722,1.87574,291974,1,5285,2683,0,1.7,3,7,2001,1998,1,194159,258198,98004,False
2018-05-13,471972,1000066,Townhouse,2018-05-01,468771,1.56257,302048,1,8043,2380,600,2.8,3,9,1945,0,2,246726,183911,98003,False
2013-05-13,365872,1000067,Condo,2013-05-01,409458,1.36486,268065,2,8880,2373,400,2.1,3,10,1945,0,1,164319,267507,98003,False
2023-11-02,569828,1000068,Townhouse,2023-11-01,615006,2.05002,277962,1,8084,1882,400,2.3,4,5,2002,0,2,174645,224241,98101,False
2013-09-14,420362,1000069,Multiplex,2013-09-01,395327,1.3177566666666667,318998,1,4440,1126,400,2.6,5,11,1959,2014,1,121250,336107,98003,False
2010-12-04,405826,1000070,Multiplex,2010-12-01,318811,1.0627033333333333,381880,1,8119,1202,400,1.6,3,11,1960,0,2,214484,205504,98104,False
2015-09-12,445240,1000071,Multiplex,2015-09-01,446049,1.48683,299455,1,11886,2667,0,1.5,4,11,1941,0,2,219515,294174,98101,False
2024-02-12,638396,1000072,Condo,2024-02-01,616299,2.05433,310756,1,8845,2115,400,3.6,4,7,1995,2014,0,270755,367041,98103,False
2015-01-03,479560,1000073,Multiplex,2015-01-01,428396,1.4279866666666667,335829,1,10385,1989,0,2.3,4,10,1949,2013,2,247468,291944,98104,False
2021-10-16,515560,1000074,Single Family,2021-10-01,554800,1.8493333333333333,278781,2,6788,1760,400,2.2,3,10,2009,2021,0,182912,224294,98101,False
2023-02-10,623350,1000075,Townhouse,2023-02-01,605071,2.0169033333333335,309062,1,9749,1855,400,1.1,3,5,1962,2009,0,129309,393985,98104,False
2021-08-23,561546,1000076,Townhouse,2021-08-01,561712,1.8723733333333332,299911,1,8337,2937,0,2.5,1,4,1969,2022,1,225971,149681,98003,False
2020-05-18,557264,1000077,Single Family,2020-05-01,522603,1.74201,319897,1,4647,1831,0,2.7,3,11,2017,0,0,266645,273776,98103,False
2023-03-01,593240,1000078,Condo,2023-03-01,603340,2.0111333333333334,294977,2,8455,1027,0,2.7,4,9,1976,2005,1,245311,296667,98104,False
2012-08-29,370241,1000079,Condo,2012-08-01,359631,1.19877,308850,1,4524,2694,400,3.1,1,9,1994,2003,2,265068,301272,98103,False
2019-10-18,523718,1000080,Townhouse,2019-10-01,525723,1.75241,298855,1,5601,1936,400,1.5,3,9,1988,0,0,187286,314439,98002,False
2018-05-16,548997,1000081,Multiplex,2018-05-01,442396,1.4746533333333334,372288,1,8067,2125,600,1.8,4,11,1973,0,0,172002,348835,98104,False
2022-07-16,610197,1000082,Condo,2022-07-01,578580,1.9286,316393,1,8391,3386,0,3.4,4,7,1983,2020,2,155785,297167,98102,False
2006-07-05,296769,1000083,Condo,2006-07-01,330383,1.1012766666666667,269477,1,3932,2083,400,3.8,3,5,1961,0,0,196646,270555,98003,False
2022-04-30,544140,1000084,Single Family,2022-04-01,563183,1.8772766666666667,289856,1,10661,2331,0,1.4,4,11,1970,2008,0,195284,267392,98004,False
2005-12-29,249537,1000085,Single Family,2005-12-01,314328,1.04776,238162,1,9216,1156,600,2.5,3,9,1946,0,0,212400,251078,98103,False
2011-07-02,419078,1000086,Multiplex,2011-07-01,402710,1.3423666666666667,312193,1,5385,1924,0,1.6,3,10,1960,0,1,192242,363003,98003,False
2006-07-13,283347,1000087,Condo,2006-07-01,245842,0.8194733333333334,345767,1,2887,2587,0,1.2,3,11,1955,0,1,191982,248277,98001,False
2024-11-21,622289,1000088,Condo,2024-11-01,629027,2.096756666666667,296786,1,7065,855,0,2.0,4,10,1959,0,2,153398,367741,98102,False
2018-10-12,539158,1000089,Single Family,2018-10-01,442006,1.4733533333333333,365939,1,6162,2260,400,1.4,5,8,1982,0,0,256497,301519,98003,False
2014-09-26,378576,1000090,Condo,2014-09-01,424629,1.41543,267463,1,7839,2180,800,3.1,2,11,1983,0,2,204591,258299,98102,False
2006-06-11,356767,1000091,Townhouse,2006-06-01,311856,1.03952,343203,1,6410,2133,0,2.6,3,8,1986,0,1,189533,349472,98003,True
2009-09-30,343348,1000092,Single Family,2009-09-01,301306,1.0043533333333334,341859,1,1477,2929,0,1.4,3,5,1958,0,0,155154,241803,98102,False
2015-04-17,409615,1000093,Multiplex,2015-04-01,482570,1.6085666666666667,254645,1,6334,2367,600,1.0,3,11,1987,0,1,120085,351054,98004,False
2021-02-02,554473,1000094,Single Family,2021-02-01,567614,1.8920466666666667,293054,1,6583,3282,0,3.4,1,7,2018,0,1,278477,317018,98004,False
2015-12-09,422395,1000095,Condo,2015-12-01,427092,1.42364,296700,2,9400,1305,400,1.5,3,7,2008,2000,1,233278,252294,98002,False
2010-12-10,378220,1000096,Multiplex,2010-12-01,394303,1.3143433333333334,287763,1,5405,2208,0,2.8,4,4,1950,0,0,102564,342290,98004,False
2016-06-22,442392,1000097,Single Family,2016-06-01,425923,1.4197433333333334,311599,1,12536,2167,0,2.0,4,4,2018,0,0,245788,343727,98004,False
2018-12-11,442172,1000098,Townhouse,2018-12-01,474938,1.5831266666666666,279302,1,1765,1244,400,2.8,3,9,1968,0,0,255348,392601,98103,False
2024-02-08,625437,1000099,Townhouse,2024-02-01,586065,1.95355,320154,1,11433,2865,400,1.9,3,6,1984,0,0,207462,377291,98101,False
2013-12-20,369874,1000100,Single Family,2013-12-01,446591,1.4886366666666666,248464,1,6827,3959,0,1.3,3,10,2007,0,1,295886,339301,98104,False
2014-06-30,433123,1000101,Townhouse,2014-06-01,433640,1.4454666666666667,299642,1,10078,2086,0,1.7,3,4,1975,0,0,213003,209792,98103,False
2010-09-27,329381,1000102,Townhouse,2010-09-01,378183,1.26061,261286,1,7739,2504,600,1.6,4,7,1987,2007,1,114990,495886,98105,False
2014-05-12,412353,1000103,Townhouse,2014-05-01,433013,1.4433766666666668,285686,1,10918,2167,0,2.3,6,10,1954,2014,0,221910,187710,98104,True
2021-12-07,567372,1000104,Multiplex,2021-12-01,573369,1.91123,296862,1,6337,1529,600,3.0,3,6,1983,2003,0,214693,375941,98105,False
2022-08-29,577996,1000105,Townhouse,2022-08-01,585931,1.9531033333333334,295937,1,4204,643,0,1.8,3,4,2006,0,1,163802,334502,98001,False
2012-01-22,402292,1000106,Townhouse,2012-01-01,400197,1.33399,301570,1,11761,1535,0,1.0,4,5,2013,0,0,234413,206068,98003,False
2006-03-20,332408,1000107,Townhouse,2006-03-01,314152,1.0471733333333333,317433,1,7159,986,600,2.6,3,8,1979,0,2,99940,290055,98101,False
2007-03-14,289741,1000108,Multiplex,2007-03-01,312308,1.0410266666666668,278322,2,8164,3463,400,2.8,4,4,1953,1992,0,259434,293699,98105,False
2019-03-15,517571,1000109,Single Family,2019-03-01,518570,1.7285666666666666,299422,3,11204,2007,0,3.9,3,11,2002,2022,0,147312,404446,98104,False
2020-11-14,440397,1000110,Condo,2020-11-01,545754,1.81918,242085,1,4404,1823,400,2.8,4,4,2020,0,2,140903,242935,98103,False
2012-05-19,402199,1000111,Townhouse,2012-05-01,396990,1.3233,303936,1,9286,2811,0,2.4,3,11,1990,0,1,193170,279044,98002,False
2018-07-31,490497,1000112,Single Family,2018-07-01,469966,1.5665533333333332,313105,1,5730,1202,0,2.7,4,5,2018,0,0,225978,113114,98102,False
2005-08-01,270496,1000113,Townhouse,2005-08-01,273100,0.9103333333333333,297139,1,7103,1486,800,3.8,4,7,1997,2004,0,209835,438781,98004,False
2017-09-04,489781,1000114,Multiplex,2017-09-01,501966,1.67322,292717,1,7716,2154,400,3.5,3,9,1954,2006,1,155440,214362,98101,True
2019-07-25,554683,1000115,Single Family,2019-07-01,513363,1.71121,324146,1,2999,2923,400,2.0,4,5,2004,0,2,169634,326152,98101,False
2011-07-16,365315,1000116,Multiplex,2011-07-01,391290,1.3043,280085,1,5163,2501,0,1.7,4,9,1994,2017,2,132017,291887,98004,True
2005-03-26,271655,1000117,Townhouse,2005-03-01,278157,0.92719,292987,1,11553,2298,0,1.8,3,4,2015,0,0,186519,292159,98004,False
2008-07-03,342409,1000118,Townhouse,2008-07-01,307996,1.0266533333333334,333519,1,10158,2162,0,2.5,3,7,1949,2013,2,264501,364788,98004,False
2021-10-12,521826,1000119,Multiplex,2021-10-01,545022,1.81674,287232,1,7312,2420,0,3.2,1,6,1981,2019,0,199744,433700,98002,False
2014-12-04,407182,1000120,Condo,2014-12-01,422542,1.4084733333333332,289094,1,8229,2261,400,2.5,3,4,1950,2006,0,251564,320119,98001,False
2020-06-03,576955,1000121,Multiplex,2020-06-01,526980,1.7566,328449,1,6617,1276,0,1.2,3,5,1955,0,2,287324,352406,98002,False
2005-10-28,301865,1000122,Townhouse,2005-10-01,325878,1.08626,277893,4,11569,2136,600,3.2,4,6,2012,0,0,164718,326311,98103,True
2011-12-02,323211,1000123,Multiplex,2011-12-01,383186,1.2772866666666667,253044,1,6898,1241,0,3.4,3,8,2017,0,0,188805,381402,98001,True
2009-07-19,297047,1000124,Condo,2009-07-01,387936,1.29312,229713,1,8195,2164,0,1.9,5,6,1958,0,0,330271,262966,98102,False
2023-02-04,612607,1000125,Multiplex,2023-02-01,615833,2.0527766666666665,298428,2,10938,1715,0,3.0,3,5,1970,2009,0,286660,386031,98004,False
2013-04-25,436442,1000126,Condo,2013-04-01,362319,1.20773,361373,4,5167,4131,0,2.3,3,10,2012,0,1,99655,388839,98002,False
2023-03-31,559216,1000127,Condo,2023-03-01,628865,2.096216666666667,266773,1,12176,2068,0,3.7,3,6,1992,0,1,223228,386602,98003,False
2010-05-05,378487,1000128,Multiplex,2010-05-01,334804,1.1160133333333333,339142,1,2908,976,800,3.5,3,5,1947,1995,0,200033,247188,98103,False
2009-06-15,390867,1000129,Multiplex,2009-06-01,355568,1.1852266666666667,329782,1,12388,1992,0,2.6,3,10,1963,0,1,249587,286532,98102,False
2017-08-22,536945,1000130,Single Family,2017-08-01,464815,1.5493833333333333,346554,1,6381,2515,600,3.1,3,4,1947,0,2,155301,319157,98102,False
2011-07-05,389532,1000131,Townhouse,2011-07-01,422449,1.4081633333333334,276624,1,6771,3438,0,3.7,3,10,2022,0,2,149623,190332,98104,False
2015-05-30,459277,1000132,Condo,2015-05-01,472865,1.5762166666666666,291379,1,1829,1628,800,2.5,4,7,1987,0,0,159435,427593,98104,False
2007-05-17,260484,1000133,Single Family,2007-05-01,309643,1.0321433333333334,252371,1,6135,834,0,1.9,4,8,1969,0,2,165684,299017,98102,False
2017-02-07,543302,1000134,Multiplex,2017-02-01,477762,1.59254,341154,1,4380,2753,600,3.3,3,10,1997,2007,1,248919,322714,98001,False
2022-03-12,567105,1000135,Townhouse,2022-03-01,589262,1.9642066666666667,288719,1,5677,995,0,1.7,4,7,1994,0,0,129127,253839,98103,False
2021-03-26,533890,1000136,Single Family,2021-03-01,579162,1.93054,276549,1,7088,1751,400,2.2,4,7,2012,2013,0,162643,193849,98104,False
2007-08-06,316823,1000137,Condo,2007-08-01,325063,1.0835433333333333,292395,1,10373,1893,600,3.6,2,7,2001,0,0,92659,251677,98101,False
2010-09-18,410346,1000138,Single Family,2010-09-01,344497,1.1483233333333334,357343,1,8122,2044,0,3.2,6,10,1987,0,1,260427,317536,98004,False
2011-06-03,445837,1000139,Condo,2011-06-01,365244,1.21748,366196,1,8423,2651,0,2.2,4,5,1943,0,0,276261,353874,98103,False
2011-04-22,383357,1000140,Multiplex,2011-04-01,379506,1.26502,303044,1,4213,1553,0,1.6,3,11,1976,0,1,180375,312943,98102,False
2009-08-16,380900,1000141,Townhouse,2009-08-01,375646,1.2521533333333332,304195,1,4857,1881,600,2.1,3,5,1947,0,0,182123,327737,98102,False
2006-07-06,313296,1000142,Townhouse,2006-07-01,320556,1.06852,293205,2,12896,2088,0,1.9,2,8,1940,0,2,227193,273037,98003,True
2024-05-12,600920,1000143,Townhouse,2024-05-01,616586,2.0552866666666665,292377,1,5294,2219,0,1.5,2,5,2009,0,0,288468,339699,98004,False
2009-11-15,395259,1000144,Multiplex,2009-11-01,363925,1.2130833333333333,325830,1,12468,2178,0,3.2,4,9,1986,0,2,224516,418626,98101,False
2013-10-01,391906,1000145,Condo,2013-10-01,402831,1.34277,291863,1,6770,2448,0,1.8,3,5,2014,0,2,158147,356383,98105,False
2005-10-12,346065,1000146,Multiplex,2005-10-01,317808,1.05936,326673,1,7506,2775,600,2.4,4,5,1944,0,0,102870,364763,98104,False
2007-06-14,363436,1000147,Townhouse,2007-06-01,375020,1.2500666666666667,290733,1,10711,2414,0,2.2,4,5,1989,1998,0,133092,323521,98003,True
2019-07-07,537924,1000148,Multiplex,2019-07-01,512326,1.7077533333333332,314989,1,11315,2462,400,3.9,4,4,1963,2017,0,204393,179747,98102,False
2019-02-28,574372,1000149,Multiplex,2019-02-01,535535,1.7851166666666667,321756,1,7167,834,600,2.2,4,8,1986,0,2,160680,216426,98001,False
2005-01-26,366970,1000150,Multiplex,2005-01-01,285092,0.9503066666666666,386159,1,6335,2140,0,1.2,1,9,1957,0,1,211698,336390,98003,False
2018-07-20,494264,1000151,Condo,2018-07-01,497276,1.6575866666666668,298182,1,7332,2483,400,1.3,3,5,1967,2018,0,166824,299124,98103,False
2012-02-07,370515,1000152,Single Family,2012-02-01,395370,1.3179,281140,1,8513,2683,0,2.8,4,11,2016,0,0,136511,335187,98103,True
2021-06-28,505966,1000153,Single Family,2021-06-01,558020,1.8600666666666668,272014,1,10173,1546,400,2.8,1,8,1944,2020,0,129378,434113,98002,False
2010-12-09,432336,1000154,Multiplex,2010-12-01,414256,1.3808533333333333,313093,3,7512,1572,0,2.3,1,6,1969,0,2,293741,358082,98003,False
2018-01-20,486331,1000155,Single Family,2018-01-01,493390,1.6446333333333334,295707,1,9356,1640,400,2.3,5,4,1940,2009,1,253339,400710,98103,False
2017-04-18,514360,1000156,Single Family,2017-04-01,492046,1.6401533333333334,313604,1,12415,2529,0,1.2,4,10,2021,0,2,303831,307574,98102,True
2023-06-25,585507,1000157,Multiplex,2023-06-01,569143,1.8971433333333334,308625,1,8643,2927,0,2.5,3,11,1985,2016,0,232397,235422,98103,False
2013-01-14,456718,1000158,Multiplex,2013-01-01,419210,1.3973666666666666,326841,1,8434,1774,0,2.5,4,5,2008,0,0,174200,295370,98105,False
2013-05-18,389567,1000159,Townhouse,2013-05-01,433411,1.4447033333333332,269651,1,2943,2826,0,1.4,4,11,1970,0,2,279400,235619,98104,False
2024-06-14,596303,1000160,Single Family,2024-06-01,621502,2.0716733333333335,287836,1,-392,2198,400,1.3,3,9,2009,0,0,198015,424663,98102,False
2010-05-18,358740,1000161,Condo,2010-05-01,314791,1.0493033333333333,341883,1,8665,2000,0,1.4,1,4,1995,0,2,213250,363231,98004,False
2014-12-13,411040,1000162,Multiplex,2014-12-01,426220,1.4207333333333334,289315,1,7215,1930,400,1.3,5,9,1967,1998,0,197430,341640,98105,False
2022-11-05,602259,1000163,Townhouse,2022-11-01,584713,1.9490433333333332,309002,1,5955,2697,0,2.8,3,10,1955,0,0,23185,398875,98103,False
2024-04-04,630512,1000164,Condo,2024-04-01,646536,2.15512,292564,1,8230,2360,400,1.6,2,10,1993,2015,1,296284,138395,98101,True
2021-04-07,580725,1000165,Single Family,2021-04-01,602112,2.00704,289344,1,7318,3920,0,1.8,3,11,1992,0,2,229460,347051,98002,False
2007-06-22,315749,1000166,Townhouse,2007-06-01,316878,1.05626,298931,1,10883,1418,0,1.5,4,4,1951,2008,2,219789,195148,98105,False
2006-12-28,292046,1000167,Multiplex,2006-12-01,294874,0.9829133333333333,297122,1,7758,2514,0,3.9,3,6,1959,0,0,196293,299419,98103,False
2017-01-13,462802,1000168,Condo,2017-01-01,456971,1.5232366666666666,303828,1,5259,1676,400,3.6,3,11,2021,2020,0,209805,275063,98105,False
2019-03-28,580851,1000169,Multiplex,2019-03-01,523464,1.74488,332888,1,10470,1404,0,1.7,3,8,1973,2018,1,164163,352938,98105,False
2015-09-06,450828,1000170,Single Family,2015-09-01,453660,1.5122,298127,1,6848,2091,600,2.0,6,4,1992,0,1,236994,318254,98101,False
2024-03-04,572541,1000171,Condo,2024-03-01,621141,2.07047,276527,1,9079,2209,600,1.6,3,7,2003,2010,1,121574,407609,98103,False
2021-02-17,546288,1000172,Single Family,2021-02-01,577468,1.9248933333333333,283801,1,6067,4434,0,2.5,4,10,1962,2006,0,211164,251848,98101,False
2017-11-04,483215,1000173,Single Family,2017-11-01,489617,1.6320566666666667,296077,2,5550,1952,400,1.1,5,6,1966,0,2,233694,356729,98003,False
2008-10-13,392821,1000174,Townhouse,2008-10-01,338323,1.1277433333333333,348324,1,7752,1195,0,3.0,2,11,1956,0,1,188079,312977,98104,False
2005-03-14,330860,1000175,Multiplex,2005-03-01,281951,0.9398366666666667,352039,1,7538,2318,0,2.6,6,10,1987,0,2,222252,169176,98104,False
2017-03-28,452658,1000176,Condo,2017-03-01,470672,1.5689066666666667,288518,1,8939,440,400,3.7,5,7,1960,2005,1,140519,226510,98105,False
2009-05-23,423508,1000177,Single Family,2009-05-01,302362,1.0078733333333334,420199,1,6694,2026,400,1.5,5,6,1989,0,0,142050,288009,98102,False
2006-08-13,311065,1000178,Single Family,2006-08-01,316715,1.0557166666666666,294648,1,1990,2112,400,3.4,3,10,1979,0,2,214203,388983,98002,False
2017-11-12,517699,1000179,Condo,2017-11-01,480836,1.6027866666666666,322999,1,6201,2735,0,3.4,4,7,1942,0,1,240712,337097,98003,False
